Accelerometer sample rate = 119.00 Hz
Gyroscope sample rate = 119.00 Hz

aX:-0.867,aY:0.012,aZ:-0.188,gX:-28.870,gY:14.282,gZ:2.625
aX:-0.912,aY:0.027,aZ:-0.235,gX:194.641,gY:83.069,gZ:-62.378
aX:-0.977,aY:0.008,aZ:-0.214,gX:11.719,gY:7.141,gZ:-5.737
aX:-0.976,aY:0.004,aZ:-0.213,gX:-2.747,gY:-0.061,gZ:0.854
aX:-0.977,aY:0.001,aZ:-0.208,gX:-2.991,gY:-0.488,gZ:0.854
aX:-0.981,aY:-0.000,aZ:-0.207,gX:-3.479,gY:-1.648,gZ:0.549
aX:-0.987,aY:0.003,aZ:-0.217,gX:-4.517,gY:-2.136,gZ:0.000
aX:-0.989,aY:0.012,aZ:-0.234,gX:-4.700,gY:-1.831,gZ:-0.732
aX:-0.982,aY:0.019,aZ:-0.240,gX:-3.784,gY:-1.099,gZ:-0.793
aX:-0.980,aY:0.017,aZ:-0.232,gX:-2.502,gY:-0.488,gZ:-0.610
aX:-0.979,aY:0.013,aZ:-0.215,gX:-2.014,gY:0.183,gZ:-0.610
aX:-0.978,aY:0.011,aZ:-0.208,gX:-2.014,gY:-0.671,gZ:-0.671
aX:-0.978,aY:0.010,aZ:-0.213,gX:-2.258,gY:-1.831,gZ:-0.732
aX:-0.975,aY:0.017,aZ:-0.220,gX:-1.892,gY:-2.075,gZ:-0.244
aX:-0.974,aY:0.022,aZ:-0.222,gX:-1.343,gY:-1.465,gZ:0.183
aX:-0.977,aY:0.026,aZ:-0.220,gX:-0.427,gY:-1.526,gZ:0.793
aX:-0.984,aY:0.026,aZ:-0.227,gX:0.122,gY:-1.465,gZ:0.610
aX:-0.988,aY:0.024,aZ:-0.232,gX:1.099,gY:-1.526,gZ:0.610
aX:-0.986,aY:0.018,aZ:-0.230,gX:1.587,gY:-1.587,gZ:0.549
aX:-0.984,aY:0.006,aZ:-0.230,gX:2.319,gY:-1.526,gZ:0.916
aX:-0.979,aY:0.002,aZ:-0.229,gX:2.686,gY:-1.160,gZ:1.343
aX:-0.976,aY:0.004,aZ:-0.230,gX:3.174,gY:-1.160,gZ:1.587
aX:-0.978,aY:0.006,aZ:-0.232,gX:3.052,gY:-1.160,gZ:2.075
aX:-0.980,aY:0.004,aZ:-0.232,gX:3.113,gY:-1.343,gZ:2.441
aX:-0.977,aY:0.002,aZ:-0.229,gX:2.808,gY:-1.343,gZ:2.258
aX:-0.976,aY:-0.000,aZ:-0.228,gX:2.686,gY:-1.709,gZ:2.197
aX:-0.975,aY:-0.002,aZ:-0.230,gX:2.563,gY:-2.075,gZ:2.136
aX:-0.976,aY:-0.001,aZ:-0.228,gX:2.686,gY:-1.831,gZ:2.441
aX:-0.980,aY:-0.000,aZ:-0.225,gX:2.258,gY:-1.526,gZ:2.441
aX:-0.980,aY:0.001,aZ:-0.227,gX:2.197,gY:-1.709,gZ:2.625
aX:-0.977,aY:-0.000,aZ:-0.231,gX:1.892,gY:-1.648,gZ:2.563
aX:-0.977,aY:-0.004,aZ:-0.229,gX:1.709,gY:-1.587,gZ:2.625
aX:-0.973,aY:-0.005,aZ:-0.221,gX:1.770,gY:-2.014,gZ:2.563
aX:-0.974,aY:-0.007,aZ:-0.220,gX:1.099,gY:-3.052,gZ:2.075
aX:-0.980,aY:-0.008,aZ:-0.223,gX:0.366,gY:-3.723,gZ:1.648
aX:-0.984,aY:-0.010,aZ:-0.225,gX:-0.549,gY:-4.517,gZ:1.526
aX:-0.987,aY:-0.010,aZ:-0.230,gX:-1.343,gY:-4.517,gZ:1.282
aX:-0.985,aY:-0.009,aZ:-0.238,gX:-2.502,gY:-3.784,gZ:1.160
aX:-0.986,aY:-0.008,aZ:-0.245,gX:-3.113,gY:-2.930,gZ:1.404
aX:-0.986,aY:-0.007,aZ:-0.246,gX:-3.296,gY:-2.319,gZ:1.465
aX:-0.978,aY:-0.008,aZ:-0.235,gX:-3.540,gY:-1.831,gZ:1.038
aX:-0.973,aY:-0.011,aZ:-0.233,gX:-3.357,gY:-1.648,gZ:0.610
aX:-0.974,aY:-0.009,aZ:-0.238,gX:-4.150,gY:-1.709,gZ:0.122
aX:-0.974,aY:-0.003,aZ:-0.244,gX:-4.333,gY:-2.014,gZ:0.000
aX:-0.975,aY:0.002,aZ:-0.245,gX:-3.784,gY:-2.319,gZ:0.305
aX:-0.972,aY:0.007,aZ:-0.243,gX:-3.540,gY:-2.319,gZ:0.427
aX:-0.973,aY:0.005,aZ:-0.243,gX:-3.296,gY:-2.441,gZ:0.854
aX:-0.978,aY:0.002,aZ:-0.245,gX:-2.869,gY:-2.380,gZ:1.221
aX:-0.983,aY:0.001,aZ:-0.247,gX:-2.808,gY:-2.258,gZ:1.526
aX:-0.981,aY:0.000,aZ:-0.250,gX:-2.991,gY:-2.075,gZ:1.221
aX:-0.975,aY:-0.001,aZ:-0.252,gX:-2.441,gY:-2.136,gZ:0.977
aX:-0.971,aY:-0.001,aZ:-0.251,gX:-2.502,gY:-2.014,gZ:0.977
aX:-0.970,aY:-0.009,aZ:-0.250,gX:-2.625,gY:-1.709,gZ:0.732
aX:-0.977,aY:-0.012,aZ:-0.252,gX:-2.502,gY:-1.648,gZ:0.854
aX:-0.980,aY:-0.011,aZ:-0.252,gX:-2.991,gY:-1.465,gZ:0.854
aX:-0.982,aY:-0.009,aZ:-0.254,gX:-3.845,gY:-2.197,gZ:0.549
aX:-0.980,aY:-0.012,aZ:-0.259,gX:-3.723,gY:-2.380,gZ:0.610
aX:-0.971,aY:-0.014,aZ:-0.259,gX:-3.479,gY:-1.953,gZ:0.183
aX:-0.962,aY:-0.009,aZ:-0.261,gX:-3.662,gY:-1.770,gZ:-0.366
aX:-0.968,aY:-0.010,aZ:-0.260,gX:-3.235,gY:-2.014,gZ:-0.610
aX:-0.975,aY:-0.011,aZ:-0.258,gX:-3.235,gY:-2.136,gZ:-0.610
aX:-0.976,aY:-0.009,aZ:-0.254,gX:-3.845,gY:-2.380,gZ:-0.427
aX:-0.975,aY:-0.007,aZ:-0.252,gX:-3.906,gY:-2.380,gZ:0.000
aX:-0.972,aY:-0.005,aZ:-0.255,gX:-4.761,gY:-2.625,gZ:0.366
aX:-0.974,aY:-0.001,aZ:-0.260,gX:-5.981,gY:-3.052,gZ:0.793
aX:-0.967,aY:0.006,aZ:-0.262,gX:-4.822,gY:-2.197,gZ:0.977
aX:-0.963,aY:0.009,aZ:-0.262,gX:-4.272,gY:-1.892,gZ:1.099
aX:-0.970,aY:0.006,aZ:-0.267,gX:-4.272,gY:-2.014,gZ:1.038
aX:-0.973,aY:0.004,aZ:-0.269,gX:-3.296,gY:-1.221,gZ:1.404
aX:-0.970,aY:-0.001,aZ:-0.266,gX:-2.747,gY:-0.977,gZ:1.221
aX:-0.968,aY:-0.004,aZ:-0.265,gX:-3.357,gY:-1.526,gZ:1.099
aX:-0.971,aY:-0.006,aZ:-0.269,gX:-3.235,gY:-1.770,gZ:1.099
aX:-0.975,aY:-0.013,aZ:-0.271,gX:-3.418,gY:-1.587,gZ:1.160
aX:-0.977,aY:-0.018,aZ:-0.271,gX:-3.540,gY:-0.916,gZ:1.038
aX:-0.969,aY:-0.012,aZ:-0.268,gX:-3.235,gY:-0.671,gZ:0.854
aX:-0.970,aY:-0.005,aZ:-0.266,gX:-3.174,gY:-0.549,gZ:0.732
aX:-0.970,aY:-0.001,aZ:-0.265,gX:-3.662,gY:0.000,gZ:0.549
aX:-0.968,aY:-0.001,aZ:-0.264,gX:-2.930,gY:-0.183,gZ:0.366
aX:-0.967,aY:0.002,aZ:-0.261,gX:-2.258,gY:-0.366,gZ:0.916
aX:-0.969,aY:0.007,aZ:-0.266,gX:-2.747,gY:-0.488,gZ:0.793
aX:-0.973,aY:0.007,aZ:-0.261,gX:-2.136,gY:-0.427,gZ:1.038
aX:-0.975,aY:0.004,aZ:-0.263,gX:-2.136,gY:-0.122,gZ:1.099
aX:-0.972,aY:0.003,aZ:-0.264,gX:-2.197,gY:-0.183,gZ:1.099
aX:-0.969,aY:0.000,aZ:-0.267,gX:-1.282,gY:-0.183,gZ:1.099
aX:-0.965,aY:0.002,aZ:-0.262,gX:-0.366,gY:0.122,gZ:1.465
aX:-0.964,aY:-0.000,aZ:-0.258,gX:-0.183,gY:-0.427,gZ:1.160
aX:-0.969,aY:-0.001,aZ:-0.264,gX:0.000,gY:-1.404,gZ:1.282
aX:-0.973,aY:-0.006,aZ:-0.271,gX:-0.122,gY:-1.526,gZ:1.099
aX:-0.975,aY:-0.011,aZ:-0.266,gX:-0.061,gY:-1.099,gZ:1.282
aX:-0.976,aY:-0.013,aZ:-0.265,gX:0.000,gY:-0.366,gZ:1.160
aX:-0.975,aY:-0.007,aZ:-0.266,gX:-0.183,gY:0.061,gZ:1.160
aX:-0.969,aY:-0.003,aZ:-0.268,gX:-0.549,gY:-0.061,gZ:1.221
aX:-0.968,aY:-0.008,aZ:-0.268,gX:-1.160,gY:0.061,gZ:1.404
aX:-0.969,aY:-0.013,aZ:-0.265,gX:-1.038,gY:-0.244,gZ:1.770
aX:-0.971,aY:-0.017,aZ:-0.268,gX:-1.831,gY:-0.427,gZ:1.831
aX:-0.970,aY:-0.019,aZ:-0.273,gX:-2.502,gY:-0.305,gZ:1.526
aX:-0.969,aY:-0.017,aZ:-0.275,gX:-2.869,gY:0.122,gZ:1.099
aX:-0.966,aY:-0.012,aZ:-0.276,gX:-2.686,gY:-0.061,gZ:0.488
aX:-0.969,aY:-0.013,aZ:-0.276,gX:-2.380,gY:0.366,gZ:0.122
aX:-0.971,aY:-0.011,aZ:-0.270,gX:-1.587,gY:0.977,gZ:0.183
aX:-0.973,aY:-0.006,aZ:-0.267,gX:-1.953,gY:1.465,gZ:0.122
aX:-0.974,aY:-0.003,aZ:-0.272,gX:-2.380,gY:1.282,gZ:0.061
aX:-0.976,aY:-0.007,aZ:-0.274,gX:-2.441,gY:0.854,gZ:0.122
